ID,Paper,Order,Family,Superfam,Genus,genus.and.species,Collected.from,Host.Lat,Host.Long,N..treat.field.,mortality..treat.,N..control.,mortality..c.,or,ln.or,v.ln.or,Treatment,Temp,BdStrain,bd.ID,Lineage,Stated.location,Species.isolated.from,Bd.Lat,Bd.Long,distance,distkm,logdistkm,Bd.dose..spore.,logdose,duration
214a,Rumschlag et al 2015,Anura,Hylidae,Hyloidea,Hyla,Hyla_versicolor,"Indian Creek Preserve, Reily Ohio-amplexing pairs were collected and egg layed in the lab",39.442,-84.7699,22,0.1,100,0.04,2.85,0.980829253,0.765467172,exposed at metamorphosis,23,JEL423,37a,GPL,"El Cope, Panama",Phyllomedusa lemur,8.62,-80.6,3439582.135,3439.582135,3.53663193,100000,5,35
438a,Paetow et al 2012,Anura,Ranidae,Ranoidea,Lithobates,Rana_pipiens,"Boucherville, Quebec (45ç38?06?N 73ç26?06?W",45.635,-73.435,22,0,22,0.05,0.32,-1.14,2.757180754,Bd only,21,JEL423,37a,GPL,"El Cope, Panama",Phyllomedusa lemur,8.62,-80.6,4159483.781,4159.483781,3.619143833,4540000,6.657055853,72
503a,Gahl et al 2012,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_americanus,"southwestern New Brunswick, Canada",46.107878,-66.319522,40,1,7,0.63,51.41,3.94,2.550974504,JEL404 A. laterale,20,JEL404,34a,,"Crocker Pond, Maine",Lithobates catesbeianus,44.9836344,-68.4704303,209339.067,209.339067,2.322919943,5500000,6.740362689,20
89a,Langhammer et al 2014 JWD,Anura,Leptodactylidae,Hyloidea,Eleutherodactylus,Eleutherodactylus_coqui,"In 2010, we collected 43 adult (.23-mm snout-vent length [SVL]) coquis from El Yunque, Puerto Rico (19u369N, 155u69W), and from an introduced population near Hilo, Hawaii (18u189N, 65u479W).",18.29542,-65.800344,51,0.9,54,0.65,4.52,1.578185369,0.299265005,juvenile,21,JEL427,38a,GPL,"El Yunque, Pueto Rico",Coqui spp,18.31667,-65.78333,2960.996688,2.960996688,0.597804479,1000000,6,77
415a,Garner et al 2009,Anura,Bufonidae,Bufonoidea,Bufo,Bufo_bufo,England ,53.35994,-1.787053,63,0.94,92,0.14,74.31,4.445949342,0.350072912,High Bd,18,IA043,20a,GPL,"Ibon Acherito, Spain",Alytes obstetricans,40.88333,-0.7,1389468.281,1389.468281,3.143161086,21000,4.322219295,30
412a,Garner et al 2009,Anura,Bufonidae,Bufonoidea,Bufo,Bufo_bufo,England ,53.35994,-1.787053,69,0.61,92,0.14,8.93,2.226941868,0.148670264,low Bd,18,IA043,20a,GPL,"Ibon Acherito, Spain",Alytes obstetricans,40.88333,-0.7,1389468.281,1389.468281,3.143161086,210,2.322219295,42
278a,Bielby et al 2015,Anura,Bufonidae,Bufonoidea,Bufo,Bufo_bufo,Southeast England border between Kent and Sussex. ,51.082,0.3722,30,0.53,30,0.03,23.75,3.596243002,1.27929044,high dose,18,IA042,19a,GPL,"Pyrenees, Spain",Alytes obstetricans,42.6322,0.6577778,939597.239,939.597239,2.9734037,16000,4.204119983,24
280a,Bielby et al 2015,Anura,Bufonidae,Bufonoidea,Bufo,Bufo_bufo,Southeast England border between Kent and Sussex. ,51.082,0.3722,30,0.29,30,0.03,8.92,2.580714643,1.307366258,low dose,18,IA042,19a,GPL,"Pyrenees, Spain",Alytes obstetricans,42.6322,0.6577778,939597.239,939.597239,2.9734037,160,2.204119983,24
279a,Bielby et al 2015,Anura,Ranidae,Ranoidea,Rana,Rana_temporaria,Southeast England border between Kent and Sussex. ,51.082,0.3722,30,0,30,0,1,0,4.06557377,high dose,18,IA042,19a,GPL,"Pyrenees, Spain",Alytes obstetricans,42.6322,0.6577778,939597.239,939.597239,2.9734037,16000,4.204119983,24
281a,Bielby et al 2015,Anura,Ranidae,Ranoidea,Rana,Rana_temporaria,Southeast England border between Kent and Sussex. ,51.082,0.3722,30,0,30,0,1,0,4.06557377,low dose,18,IA042,19a,GPL,"Pyrenees, Spain",Alytes obstetricans,42.6322,0.6577778,939597.239,939.597239,2.9734037,160,2.204119983,24
271a,Price et al 2015,Anura,Ranidae,Ranoidea,Rana,Rana_temporaria,"Chessington, UK",51.3609,-0.2924,15,0,15,0,1,0,4.129032258,Bd,19.5,IA042,19a,GPL,"Pyrenees, Spain",Alytes obstetricans,42.6322,0.6577778,973039.5587,973.0395587,2.988576595,100000,5,4
